1582,331,2236,523
1855,1503,2724,1753
1855,1358,2724,1609
1200,457,1582,570
1200,284,1855,487
927,1299,1418,1428
872,402,1200,523
1200,1821,1909,2031
1036,1190,1254,1253
1691,556,2455,861
1855,202,2509,372
1909,1100,2291,1267
872,1006,1254,1121
982,1671,2724,1880
927,385,2509,779
927,1412,1582,1583
1091,695,1473,907
1145,1517,1855,1700
1745,1085,2018,1144
1364,1194,2018,1328
1691,1185,2724,1457
1091,1949,1200,2042
1091,773,2346,1044
1691,926,2073,1111
927,1242,1200,1293
