335,391,496,390,496,410,336,412,0.99920183
240,129,608,132,608,148,239,146,0.99917644
224,328,480,329,480,346,223,345,0.9991522
223,277,496,275,496,292,224,294,0.9991479
224,299,544,299,544,317,223,316,0.99909437
320,247,496,248,496,265,319,264,0.99909115
224,235,304,238,304,255,223,252,0.99906105
256,169,576,170,576,194,255,192,0.9990349
288,146,560,148,560,164,287,162,0.9989864
208,364,560,365,560,386,207,385,0.9989573
256,201,560,205,560,230,255,226,0.99894387
15,404,240,399,240,417,16,422,0.9989235
