287,367,640,355,640,382,288,394,0.9997055
319,198,720,197,720,225,320,226,0.9997003
351,231,688,229,688,265,352,268,0.9996947
432,263,464,264,464,292,431,291,0.9996823
287,287,656,280,656,307,288,314,0.999678
304,143,736,143,736,166,303,166,0.99966824
288,406,464,410,464,432,287,428,0.999653
287,483,736,473,736,500,288,510,0.99964666
383,168,656,168,656,186,384,186,0.99964464
335,437,720,435,720,468,336,471,0.9996389
464,395,736,396,736,426,463,425,0.99963856
303,520,736,509,736,535,304,546,0.99963295
