256,474,768,486,768,517,255,505,0.9996891
239,363,576,355,576,384,240,392,0.9996805
240,322,368,326,368,350,239,346,0.9996753
367,401,576,400,576,435,368,436,0.9996693
192,102,249,116,240,154,182,140,0.9996685
239,440,752,440,752,475,240,476,0.9996668
239,237,688,225,688,256,240,268,0.9996586
335,112,640,102,640,123,336,133,0.99965227
191,150,720,135,720,165,192,179,0.99965096
302,180,672,164,673,206,304,222,0.9996482
368,427,416,428,416,454,367,454,0.9996425
383,312,608,312,608,343,384,343,0.99963844
255,88,736,70,736,96,256,114,0.99963474
336,390,369,391,368,423,334,422,0.99961627
287,265,560,258,560,292,288,298,0.9996138
